,1,2,3,4,5
Analyst,42.0,23.0,42.0,,2.0
Labs,1.0,1.0,2.0,1.0,7.0
Labs 01,1.0,,,,
Marketplace Integrity,55.0,25.0,19.0,19.0,61.0
Nesting,5.0,3.0,,8.0,55.0
Social Media,3.0,5.0,3.0,2.0,10.0
Support 01,9.0,1.0,4.0,11.0,116.0
Support 02,12.0,8.0,6.0,18.0,210.0
Support 03,19.0,12.0,13.0,17.0,189.0
Support 04,15.0,7.0,12.0,13.0,124.0
Support 05,20.0,7.0,13.0,20.0,228.0
Support 06,20.0,16.0,11.0,26.0,210.0
Support 08,,,,2.0,19.0
Support 09,22.0,12.0,14.0,37.0,282.0
Support 10,8.0,1.0,5.0,19.0,113.0
Support 11,13.0,9.0,10.0,13.0,185.0
Support 12,22.0,12.0,10.0,23.0,160.0
TPH Chat,78.0,64.0,52.0,123.0,936.0
TPH Labs,12.0,4.0,1.0,2.0,2.0
TPH SME,4.0,3.0,1.0,,2.0
TPH Text,38.0,30.0,37.0,52.0,639.0
TPH Tier 4,133.0,86.0,86.0,121.0,700.0
TSL Chat,1.0,1.0,2.0,,14.0
TSL Labs 01,6.0,9.0,4.0,4.0,11.0
TSL Labs 02,,,,,1.0
TSL Labs 03,6.0,1.0,3.0,3.0,15.0
TSL Labs 04,25.0,16.0,12.0,11.0,31.0
