,subpar_pct,Team_Value_Counts
Analyst,98.1651376146789,109
Labs,33.33333333333333,12
Labs 01,100.0,1
Marketplace Integrity,55.3072625698324,179
Nesting,11.267605633802818,71
Social Media,47.82608695652174,23
Support 01,9.929078014184398,141
Support 02,10.236220472440944,254
Support 03,17.599999999999998,250
Support 04,19.883040935672515,171
Support 05,13.88888888888889,288
Support 06,16.607773851590103,283
Support 08,0.0,21
Support 09,13.079019073569482,367
Support 10,9.58904109589041,146
Support 11,13.91304347826087,230
Support 12,19.383259911894275,227
TPH Chat,15.482841181165202,1253
TPH Labs,80.95238095238095,21
TPH SME,80.0,10
TPH Text,13.190954773869345,796
TPH Tier 4,27.087033747779753,1126
TSL Chat,22.22222222222222,18
TSL Labs 01,55.88235294117647,34
TSL Labs 02,0.0,1
TSL Labs 03,35.714285714285715,28
TSL Labs 04,55.78947368421052,95
